SYSTEM_CARGO_AUX_PREPROC_0x30|Rasamama RP-25
SYSTEM_CARGO_PREPROC_P15_DESC|RCC був випущений на ранніх етапах розвитку технологій модифікації трюмів, і, на відміну від більшості компаній того часу, фокусувався на здатності пропускати руду через процесор, а не на ефективності її виходу. Використовуючи постійне, але тонке напилення магнію, що запалюється лазерами процесора, вода випаровується штучним шляхом, скорочуючи час проходження шматка через процесор. Додаткове тепло від запалювання сприяє подальшому плавленню, проте екстремальна кількість домішок, що утворюються під час процесу, робить його непридатним для відновлення робочої маси. \n\nЗаправка порошковим магнієм доступна безкоштовно на Енцеладі Прайм.
SYSTEM_CARGO_PREPROC_P15_SPECS|Коефіцієнт швидкості обробки УПМ: 100% швидкості УПМ \nМодифікатор швидкості вторинної обробки УПМ: 15 кг/с \nДодаткові витрати енергії УПМ на шматок: мінімальні \nВитрати енергії навколишнього середовища на шматок: 150 кВт \nШвидкість плавлення навколишнього льоду: 5 кг/с \nМаса: 1,220 кг \nВиробник: Rusatom

SYSTEM_CARGO_PREPROC_M35|MAD Heating Coils
SYSTEM_CARGO_PREPROC_M35_DESC|Цей спеціалізований блок обробки використовує структуроване плавлення шматків руди, що потрапляють у трюм, для створення більш крихкої структури льоду. Цей блок також поставляється з вторинним модулем ефективності, який кріпиться на сам блок УПМ для підвищення швидкості переробки та рівня відновлення мінералів. \n\nЦей блок часто критикують компанії, що використовують його тривалий час, оскільки пропрієтарні компоненти схильні до швидкого руйнування вже через кілька місяців використання.
SYSTEM_CARGO_PREPROC_M35_SPECS|Коефіцієнт швидкості обробки УПМ: 135% швидкості УПМ \nМодифікатор швидкості вторинної обробки УПМ: 10 кг/с \nДодаткові витрати енергії УПМ на шматок: ~38% \nШвидкість плавлення льоду: 30 кг/с \nЕфективність переробки робочої маси: 10% \nЕнергоспоживання препроцесора: 550 кВт / шматок \nБонус ефективності переробки мінералів УПМ: x110% \nМаса: 4,780 кг \nВиробник: Machines Astro-Dynamiques

SYSTEM_CARGO_PREPROC_M85|MS Frakker
SYSTEM_CARGO_PREPROC_M85_DESC|Frakker від Mitsudaya-Starbus використовує комбінацію високопродуктивних котушок та чіпів розпізнавання образів для оптимізації плавлення та пробивання льоду. Використання ШІ для розпізнавання образів бере початок із методів геологічної розвідки початку 21-го століття, що активно цікавилися алгоритмами LLM для спостереження та визначення оптимального методу розколювання руди без втрати мінералів. Як наслідок, використання цього блоку супроводжується значними витратами енергії, оскільки відстеження кожного шматка руди створює додаткове енергоспоживання протягом усього часу перебування в зоні сканування. \n\nТепло, що генерується цим блоком, також викликає незначне плавлення шматків руди, проте система для відновлення робочої маси не передбачена.
SYSTEM_CARGO_PREPROC_M85_SPECS|Коефіцієнт швидкості обробки УПМ: 185% швидкості УПМ \nМодифікатор швидкості вторинної обробки УПМ: 0 кг/с \nДодаткові витрати енергії УПМ на шматок: ~85% \nКеруючий ШІ: Клас 1 \nВитрати енергії навколишнього середовища на шматок: 2,500 кВт \nШвидкість плавлення навколишнього льоду: 12 кг/с \nМаса: 12,550 кг \nВиробник: Mitsudaya-Starbus
