SLOT_HULL_CONSUMABLEVAT|Сховище витратних матеріалів
SYSTEM_HULLVAT_AMMO_EXTEND_2_SPECS|Модифікатор місткості боєприпасів: +67% \nМісткість боєприпасів: 2,000 кг \nЗменшення трюму перероблених мінералів: 20% \nСуха маса: 20,000 кг \nВиробник: Antonoff


SYSTEM_HULLVAT_AMMO_EXTEND_3|Obonto Projectile Extendo+

SYSTEM_HULLVAT_AMMO_EXTEND_3_DESC|Використовує інший підхід порівняно з ранніми технологіями розширення магазину, обираючи натомість пожертвувати частиною бака робочої маси. Через суперечливі закони Енцелада він дотримується універсального підходу до відсотка зменшення бака, але завжди гарантує, що 10 тонн робочої маси залишаться доступними, навіть якщо для цього доведеться зберігати робочу масу в тому ж контейнері, що й боєприпаси.

SYSTEM_HULLVAT_AMMO_EXTEND_3_SPECS|Модифікатор місткості боєприпасів: +100% \nМісткість боєприпасів: 1,000 кг \nЗменшення бака робочої маси: 33% \nСуха маса: 35,000 кг \nВиробник: Obonto Microengineering


SYSTEM_HULLVAT_NANO_1|Runasimi Drone Component Vat

SYSTEM_HULLVAT_NANO_1_DESC|Як і велика кількість комерційних продуктів Runasimi, DCV орієнтований на забезпечення невеликого приросту доступних компонентів нанодронів. Спочатку розроблений як резервний відсік, доступний лише під час надзвичайних ситуацій, у пізніших моделях було відкрито доступ до його вмісту під час штатного польоту.

SYSTEM_HULLVAT_NANO_1_SPECS|Місткість компонентів дронів: 6,000 кг \nЗменшення магазину боєприпасів: 25% \nСуха маса: 4,500 кг \nВиробник: Runasimi

SYSTEM_HULLVAT_NANO_MANUAL|Додаткові деталі дронів для установок збірки нанодронів. Сумісний з усіма пусковими установками дронів. \nШвидкість подачі деталей дронів залежить від встановленого магазину. \nДеталі продаються окремо на початку занурення. \nДисплеї сенсорів HUD можуть відображати нові значення коректно або ні.


SYSTEM_HULLVAT_NANO_2|Runasimi Hull-Fitted Nanodrone Locker

SYSTEM_HULLVAT_NANO_2_DESC|Базуючись на успіху DCV, у виробництво було запущено більший блок, щоб дозволити користувачам, які активно використовують нанодрони, ефективно задіяти часто невикористовуваний простір магазину мас-драйвера для розміщення значної кількості нанодронів. Відсутність будь-яких спеціалізованих блоків безпеки дозволила досягти кращого співвідношення простору "деталі/магазин", ніж у попередніх конструкціях.

SYSTEM_HULLVAT_NANO_2_SPECS|Місткість компонентів дронів: 15,000 кг \nЗменшення магазину боєприпасів: 50% \nСуха маса: 12,000 кг \nВиробник: Runasimi


SYSTEM_HULLVAT_NANO_EXTEND_1|Antonoff Nano Storage Expansion

SYSTEM_HULLVAT_NANO_EXTEND_1_DESC|Заснована на конструкції, подібній до лінійки комплектів розширення боєприпасів, ця модифікація замінює частину трюму для мінералів, дозволяючи зберігати більше компонентів нанодронів усередині судна. Зауважте, що до цих комплектів застосовуються ті ж закони, і межі коригування сховища є фіксованими, незалежно від судна.

SYSTEM_HULLVAT_NANO_EXTEND_1_SPECS|Модифікатор місткості компонентів дронів: +33% \nМісткість компонентів дронів: 1,000 кг \nЗменшення трюму перероблених мінералів: 10% \nСуха маса: 10,500 кг \nВиробник: Antonoff


SYSTEM_HULLVAT_NANO_EXTEND_2|Antonoff Dual Nano Storage Expansion

SYSTEM_HULLVAT_NANO_EXTEND_2_DESC|Подібно до конструкторського рішення для наборів боєприпасів, Antonoff забезпечив подвійну комплектацію для своїх наборів NSE. Подібні обмеження застосовуються і тут.

SYSTEM_HULLVAT_NANO_EXTEND_2_SPECS|Модифікатор місткості компонентів дронів: +67% \nМісткість компонентів дронів: 2,000 кг \nЗменшення трюму перероблених мінералів: 20% \nСуха маса: 25,000 кг \nВиробник: Antonoff


SYSTEM_HULLVAT_NANO_EXTEND_3|Obonto Liquid Nanobot Hold

SYSTEM_HULLVAT_NANO_EXTEND_3_DESC|Варіація сховища нанодронів на базі Obonto Projectile Extendo+, цей набір замінює значну частину бака робочої маси для зберігання додаткових компонентів нанодронів. Цей варіант навдивовижу популярний серед будівельних екіпажів, попри зменшення запасу палива, ймовірно, через нещодавнє послаблення правил щодо використання буксирувальних і вантажних дронів під час будівництва кілець.

SYSTEM_HULLVAT_NANO_EXTEND_3_SPECS|Модифікатор місткості компонентів дронів: +100% \nМісткість компонентів дронів: 1,000 кг \nЗменшення бака робочої маси: 33% \nСуха маса: 40,000 кг \nВиробник: Obonto Microengineering


SYSTEM_HULLVAT_PROP_1|Propellant Can Mk. I

SYSTEM_HULLVAT_PROP_1_DESC|Створені на базі досліджень Conlindo у сфері динамічних розширювачів паливних баків, ці менші набори розширення призначені для екіпажів, що займаються дослідженнями, пошуково-рятувальними роботами або будівництвом, завдяки великій кількості простору, що залишається вільним через невикористання сховища перероблених матеріалів, і здатні перепрофілювати частину цього простору для робочої маси.

SYSTEM_HULLVAT_PROP_1_SPECS|Місткість робочої маси: 10,000 кг \nЗменшення трюму перероблених мінералів: 10% \nСуха маса: 1,500 кг \nВиробник: Conlindo RVM

SYSTEM_HULLVAT_PROP_MANUAL|Додаткова робоча маса для маневрових двигунів або основного двигуна. \nРобоча маса продається окремо на початку занурення. \nДисплеї сенсорів HUD можуть відображати нові значення коректно або ні.


SYSTEM_HULLVAT_PROP_2|Propellant Can Mk. II

SYSTEM_HULLVAT_PROP_2_DESC|Сучасне вдосконалення порівняно з Mk. I, цей блок використовує більш ефективні методи зберігання, щоб займати менше місця на кілограм, ніж його попередник. Цей набір все ще може бути не найефективнішим для деяких екіпажів, оскільки значно важча рама відлякує деяких капітанів, незважаючи на його переваги.

SYSTEM_HULLVAT_PROP_2_SPECS|Місткість робочої маси: 25,000 кг \nЗменшення трюму перероблених мінералів: 22.5% \nСуха маса: 7,000 кг \nВиробник: Conlindo RVM


SYSTEM_HULLVAT_PROP_EXTEND_1|Reaction Mass Tank Expander

SYSTEM_HULLVAT_PROP_EXTEND_1_DESC|Орієнтуючись на стабільні міжпланетні подорожі, Conlindo розробила це обладнання для заміни частини магазину мас-драйвера та сховищ компонентів нанодронів, які залишаються невикористаними під час подорожей на такі дистанції, щоб вмістити більше робочої маси на кораблі. Попри те, що стандартні міжпланетні баки є законодавчо встановленим мінімумом, додаткова надлишковість дозволяє пілотам виконувати додаткові маневри, не ризикуючи спорожнити бак і дрейфувати решту шляху.

SYSTEM_HULLVAT_PROP_EXTEND_1_SPECS|Модифікатор місткості робочої маси: +25% \nЗменшення магазину боєприпасів: 17% \nЗменшення місткості компонентів дронів: 17% \nСуха маса: 3,000 кг \nВиробник: Conlindo RVM


SYSTEM_HULLVAT_PROP_EXTEND_2|2x Reaction Mass Tank Expander

SYSTEM_HULLVAT_PROP_EXTEND_2_DESC|Орієнтуючись на стабільні міжпланетні подорожі, Conlindo розробила це обладнання для заміни частини магазину мас-драйвера та сховищ компонентів нанодронів, які залишаються невикористаними під час подорожей на такі дистанції, щоб вмістити більше робочої маси на кораблі. Попри те, що стандартні міжпланетні баки є законодавчо встановленим мінімумом, додаткова надлишковість дозволяє пілотам виконувати додаткові маневри, не ризикуючи спорожнити бак і дрейфувати решту шляху.\n\nПодвійне встановлення цього обладнання дозволяє зберігати додаткову робочу масу для суден, які цього потребують.

SYSTEM_HULLVAT_PROP_EXTEND_2_SPECS|Модифікатор місткості робочої маси: +50% \nЗменшення магазину боєприпасів: 25% \nЗменшення місткості компонентів дронів: 25% \nСуха маса: 8,000 кг \nВиробник: Conlindo RVM


SYSTEM_HULLVAT_PROP_EXTEND_3|3x Reaction Mass Tank Expander

SYSTEM_HULLVAT_PROP_EXTEND_3_DESC|Орієнтуючись на стабільні міжпланетні подорожі, Conlindo розробила це обладнання для заміни частини магазину мас-драйвера та сховищ компонентів нанодронів, які залишаються невикористаними під час подорожей на такі дистанції, щоб вмістити більше робочої маси на кораблі. Попри те, що стандартні міжпланетні баки є законодавчо встановленим мінімумом, додаткова надлишковість дозволяє пілотам виконувати додаткові маневри, не ризикуючи спорожнити бак і дрейфувати решту шляху.\n\nПотрійне встановлення цього обладнання дозволяє зберігати додаткову робочу масу для суден, які цього дійсно потребують.

SYSTEM_HULLVAT_PROP_EXTEND_3_SPECS|Модифікатор місткості робочої маси: +75% \nЗменшення магазину боєприпасів: 38% \nЗменшення місткості компонентів дронів: 38% \nСуха маса: 15,000 кг \nВиробник: Conlindo RVM


SYSTEM_HULLVAT_CONSUMABLESPEED_1|Tetsuo SCARLETTE Delivery Driver

SYSTEM_HULLVAT_CONSUMABLESPEED_1_DESC|Привід SCARLETTE — це модуль, розроблений для зміни способу подачі витратних матеріалів до вузлів кріплення. Спочатку використовуваний у військових цілях, SCARLETTE був перейменований на промислову модифікацію після розірвання контрактів з Nakamura Dynamics. Незважаючи на те, що він використовується переважно для мас-драйверів промислового класу, деякі капітани з особливо високими вимогами до мас-драйверів змогли знайти виняткове застосування цьому модулю.

SYSTEM_HULLVAT_CONSUMABLESPEED_1_SPECS|Швидкість доставки зі сховища витратних матеріалів: +75% \nСуха маса: 3,800 кг \nВиробник: Tetsuo Engineering

SYSTEM_HULLVAT_CONSUMABLESPEED_MANUAL|Пришвидшує подачу відповідних витратних матеріалів на певний відсоток. \nНайкраще працює в поєднанні з обладнанням промислового класу.


SYSTEM_HULLVAT_CONSUMABLESPEED_2|Tetsuo RamDrive Consumable Delivery Efficiency Module

SYSTEM_HULLVAT_CONSUMABLESPEED_2_DESC|Разом з випуском на споживчий ринок їхнього промислового мас-драйвера Tetsuo HMX 2000l, модуль, який раніше був доступний лише інсайдерам індустрії, став доступним для споживачів, що бажають модернізувати свої судна для його використання, особливо для екіпажів, які не можуть використовувати його систему подачі заліза або не можуть дозволити собі судно, здатне відповідати його вимогам; цей модуль вносить серйозні корективи в системи доставки судна, і в результаті може бути використаний для модернізації більшості магазинів, дозволяючи їм відповідати абсурдним вимогам HMX щодо подачі боєприпасів.

SYSTEM_HULLVAT_CONSUMABLESPEED_2_SPECS|Швидкість доставки зі сховища витратних матеріалів: +150% \nСуха маса: 9,000 кг \nВиробник: Tetsuo Engineering
