SYSTEM_MAIN_ENGINE_NANI|SSE NANI Torch Refit
SYSTEM_MAIN_ENGINE_SOYUZ_DESC|В существование этого «дввигателя» нет смысла сомневаться. Rusatom-Antonoff стремился конкурировать с другими многоконтурными установками, внедряя собственные, но разработка шла медленно, и к концу XXII века было испытано множество прототипов, которые потерпели неудачу, так и не найдя приемлемых решений. \n\nМифы о процессе его создания разнятся, но в целом предполагают, что ведущему конструктору проекта во сне явился призрак легендарного советского ракетчика Валентина Глушко. Он произнес одно слово: «Союз» и исчез, оставив у ног конструктора двигатель К44 с системой рулевого управления. \n\nПроизводство этих комбинированных установок продолжается и по сей день, и отчасти именно поэтому двигатель К44 до сих пор так популярен.

SYSTEM_MAIN_ENGINE_SOYUZ_SPECS|Тяга: 1600 кН \nСкорость истечения: 15 км/с \nРасход рабочего тела: 106,4 кг/с \nЭнергопотребление: 60 МВт \nПотребление тепла: 12,0 ГВт \nРежим работы: Импульсная тяга \nРабочее тело: Кислородно-водородная плазма \nМасса: 650 кг \nПроизводитель: Rusatom-Antonoff



SYSTEM_MAIN_ENGINE_THUNDER|Счетверённый двигатель RA-K69V

SYSTEM_MAIN_ENGINE_THUNDER_DESC|Этот двигатель — специальная разработка, в нем используется рама R44 с двигателями K69V, оснащёнными карданными подвесами, которыми эта линейка так славится среди гонщиков колец. Установка включает в себя дополнительную и полностью легальную модификацию транспондера «Thunderbarge-class». По специальному запросу предоставляется персональный крюк-кошка.

SYSTEM_MAIN_ENGINE_THUNDER_SPECS|Тяга: 1600 кН \nСкорость истечения: 12 км/с \nРасход рабочего тела: 133,2 кг/с \nЭнергопотребление: 100 МВт \nПотребление тепла: 14,4 ГВт \nУгол поворота: 25 градусов \nСкорость поворота: 360 градусов/с \nРежим работы: Импульсная тяга, в карданном подвесе \nРабочее тело: Кислородно-водородная плазма \nМасса: 950 кг \nПроизводитель: Изготовлено по индивидуальному заказу / Rusatom-Antonoff



SYSTEM_MAIN_ENGINE_PIN1200|Двигатель RMS Pin-M200

SYSTEM_MAIN_ENGINE_PIN1200_DESC|В двигателе Pin-M200 компании Rasamama Material Solutions реализована та же технология импульсной индукции, которая используется в твердотельных двигателях серии Pin-150 с системой RCS, но в большем масштабе. Масштабирование технологии, конечно, делает двигатель более хрупким, однако его надежность по-прежнему находится в пределах данных конкурентов. \n\nВысокая тепловая мощность расширенной технологии потребовала номинальной мощности сжигания значительно более 60 ГВт непосредственно от реактора. Учитывая, что он превосходит даже гоночные реакторы, было решено включить в систему микротермоядерный реактор для энергоснабжения. В отличие от аналогичных термоядерных горелок, этот реактор используется исключительно для выработки тепла, а не для создания тяги. Ограниченный запас термоядерного топлива ограничивает время сжигания примерно полутора часами.

SYSTEM_MAIN_ENGINE_PIN1200_SPECS|Тяга: 1200 кН \nСкорость истечения: 105 км/с \nРасход рабочего тела: 11,4 кг/с \nЭнергопотребление: 550 МВт \nУгол поворота: 40 градусов \nРежим работы: Изменяемая тяга \nРабочее тело: Водородная плазма / урановая соль \nВремя горения: 90 минут (прибл.) \nМасса: 11 350 кг \nПроизводитель: Rasamama Material Solutions



SYSTEM_MAIN_ENGINE_CRACK|Двигатель NDDFD

SYSTEM_MAIN_ENGINE_CRACK_DESC|Двигатель направленного термоядерного синтеза от Nakamura Dynamics — один из самых мощных и самых ПЕРВЫХ термоядерных двигателей, представленных на рынке. Популяризация этого двигателя произошла благодаря скандально известной рекламе 2214 года, подкрепленной песней Vengaboys «Бум, бум, бум, бум». NDDFD использует мощные электромагниты для дробления нагретых ферромагнитных оболочек, содержащих дейтерий и тритий под давлением, а затем направляет образовавшуюся детонацию через сопло, напоминающее клетку. \n\nВ отличие от конкурента, NDDFD требует огромного и непрерывного источника энергии для поддержания движения, а его относительно крупные гранулы и специализированное оборудование подачи существенно ограничивают его запас топлива на малых судах.

SYSTEM_MAIN_ENGINE_CRACK_SPECS|Тяга: 1800 кН \nСкорость истечения: 1850 км/с \nРасход рабочего тела: 1 кг/с \nЭнергопотребление: 445 МВт \nРежим работы: Импульсная тяга \nРабочее тело: Водородная плазма \nТермоядерное топливо: D-T \nВремя горения: 30 минут (прибл.) \nМасса: 4650 кг \nПроизводитель: Nakamura Dynamics



SYSTEM_MAIN_ENGINE_ZURBIN|Двигатель ZURBIN

SYSTEM_MAIN_ENGINE_ZURBIN_DESC|Двигатель Zurbin — высокопроизводительный главный двигатель фрегатов класса «Tsukuyuomi». В настоящее время он снят с вооружения, но всё ещё используется на фрегатах, хотя и давно не используется в боевых действиях. Компания Nakamura Dynamics стремилась к повторному использованию любых деталей списанных фрегатов, используя их в своих автономных станциях класса Phage.

SYSTEM_MAIN_ENGINE_ZURBIN_SPECS|Тяга: 6900 кН \nСкорость истечения: 66 км/с \nРасход рабочего тела: 104,5 кг/с \nЭнергопотребление: 50 МВт \nРежим работы: Изменяемая тяга \nРабочее тело: Кислородно-водородная плазма \nМасса: 10 000 кг \nПроизводитель: Nakamura Dynamics



SYSTEM_MAIN_ENGINE_PMS|Двигатель ND PMS

SYSTEM_MAIN_ENGINE_PMS_DESC|Двигатель PMS является ранним предшественником двигателя NTTR. Первый большой двигатель типа NTR от Nakamura Dynamics отличается катастрофической экономичностью топлива и тягой, не соответствующей уровню чистого NTR, но при этом отличается исключительной надёжностью. Способный работать в условиях нагрузок, значительно превосходящих любые другие двигатели на рынке, и невероятно прочный для своей мощности, PMS по-прежнему отвечает требованиям к двигателям, способным работать даже в ситуациях, которые при использовании альтернативных вариантов считались бы критическими.

SYSTEM_MAIN_ENGINE_PMS_SPECS|Тяга: 3000 кН \nСкорость истечения: 3 км/с \nРасход рабочего тела: 1000 кг/с \nЭнергопотребление: 20 МВт \nПотребление тепла: 4,5 ГВт \nРежим работы: Изменяемая тяга \nРабочее тело: Кислородно-водородная плазма \nМасса: 250 кг \nПроизводитель: Nakamura Dynamics
