SHIP_TSUKUYOMI_IOT|Фрегат класса «Tsukuyomi» (списанный)
SHIP_COTHON_LUX_SPECS|Производитель: Sin Space Engineering / Conlido RVM \nМалопрочные подвесы: 4 \nЭкипаж: 6 \nСухая масса: 77 250 кг \nОбем грузового отсека: 260 м3 \nХранилище переработанной руды (на каждый тип): 25 000 кг



SHIP_MADCERF_CIV|MAD-CERF (Гражданский вариант)

SHIP_MADCERF_CIV_DESC|Этот гражданский вариант, выполненный в сотрудничестве с Obonto Microengineering, вносит ряд изменений, отвечающих разнообразным требованиям к условиям среды колец. Компактный верхний отсек был перенесен в носовую часть и заменен расширенной центрифугой стандарта OCP, что увеличило эффективную вместимость экипажа до восьми человек. Кроме того, стыковочный отсек был закрыт сетчатой ​​корзиной, а зажимы были удалены для обеспечения горнодобывающих работ, в кормовой переборке установлена ​​огромная раздвижная дверь для приема крупногабаритных грузов. Значительная часть носовой части основания также была заменена трюмными отсеками, что обеспечило судну больше места для хранения переработаных минералов, чем любому другому судну на гражданском рынке.

SHIP_MADCERF_CIV_SPECS|Производитель: Machines Astro-Dynamiques / Obonto Microengineering \nВысокопрочные подвесы: 1 \nМалопрочные подвесы: 2 \nУзлы подвески турелей: 2 \nПодвесы для дронов: 2 \nСтыковочные отсеки: 2 \nЭкипаж: 6 \nСухая масса: 195 000 кг \nОбем грузового отсека: 1200 м^3 \nХранилище переработанной руды (на каждый тип): 45 000 кг

SHIP_MADCERF_DESC|Machines Astro-Dynamiques Cernunnos Modèle II, также известный как MAD-CERF, — основной корабль спасательных компаний в кольцах Сатурна. Его тяжелобронированный нос, рассчитанный на полёты через пояс астероидов, — неэлегантное, но эффективное решение, позволяющее избежать множества опасностей, связанных с межпланетными путешествиями. Два реактора по обоим бортам корабля питают каждый свою пару резаков и маневровых двигателей.


SHIP_OBERON|UMC Oberon MLP-60

SHIP_OBERON_DESC|Оберон MLP-60 — любопытное судно, созданное United Machine Cults. Изначально автономный корабль, запускаемый электромагнитными рельсовыми пушками для орбитальных гонок, он был вытеснен более поздними аппаратами с термоядерным двигателем, но энтузиасты быстро скупили оставшиеся экземпляры, и в конце концов корабль добрался до колец. Шесть поясных радиаторов, по три с каждого борта, охлаждают его высокопроизводительный реактор и частично защищают открытые топливные баки, хотя они вряд ли нужны из-за смехотворного количества поступательных двигателей. \n\nДля обеспечения соответствия судна условиям эксплуатации в пределах колец были проведены многочисленные модификации: магнитные контакты были искусно переоборудованы в два высокопрочных узла подвески, интерфейсная инфраструктура была встроена в небольшой грузовой отсек в носовой части для размещения установок по переработке минерального сырья (едва ли, поскольку на борту для их размещения отведено мало места), а роскошный спасательный модуль HAL-9001 служит комфортабельной кабиной и отсеком для экипажа.

SHIP_OBERON_SPECS|Производитель: United Machine Cults / Изготовлено по индивидуальному заказу \nВысокопрочные подвесы: 2 \nПодвесы для дронов: 1 \nЭкипаж: 4 \nСухая масса: 26 400 кг \nОбем грузового отсека: 50 м3 \nХранилище переработанной руды (общее): 12 000 кг

SYSTEM_REACTOR_OBERON|Мощный реактор Оберона



SHIP_TRTL_RAM|KX37 TNTRL "RAM"

SHIP_TRTL_RAM_DESC|Вариант модификации KX37 от "Ringa Aftermarket Modification", обычно называемый просто "Ram", — это модификация, которая приобрела популярность в 2269 году после её распространения пользователем RingChan под ником BLKCandy. В этой модификации ёмкость для хранения минералов несколько снижена ради установки силовых и питающих шин для двух точек подвески дронов в хвостовой части корпуса, стационарные крепления двигателей заменены на карданные, а блистеры RCS переработаны для повышения мобильности. \n\nЕго наиболее заметной особенностью является дробилка типа Prospector, приобретённая непосредственно на рынке вторсырья. Её установка лишь незначительно снижает комфорт экипажа, поскольку она значительно шумит во время работы и немного уменьшает площадь зоны отдыха.

SHIP_TRTL_RAM_SPECS|Производитель: «Rusatom-Antonoff» / Изготовлено по индивидуальному заказу \nВысокопрочные подвесы: 1 \nМалопрочные подвесы: 2 \nПодвесы для дронов: 2 \nЭкипаж: 4 \nСухая масса: 42 920 кг \nОбем грузового отсека: 110 м^3 \nХранилище переработанной руды (общее): 40 000 кг \nЗащита от ЭМИ: 100 МВт

SYSTEM_REACTOR_TNTRL_FORT|Ядерный реактор K37 с распорками



SHIP_ATLAS_WASP|Разведчик класса «Оса» (списаный)

SHIP_ATLAS_WASP_DESC|Автоматизированные тактические разведчики класса «Оса» производства Nakamura Dynamics, выпущенные в середине 2200-х годов, используют [УДАЛЕНО] в качестве источника энергии и [УДАЛЕНО], вырабатывая постоянную [УДАЛЕНО] мегаватт электроэнергии, пока [УДАЛЕНО] корабля [УДАЛЕНО]. Сетка Фарадея изолирует большую часть корабля, защищая его от статических разрядов в плотных космических условиях и обеспечивая удобный вектор рассеивания заряда для [УДАЛЕНО]. \n\nРазве это не весело? Эта версия, эксклюзивно предоставленная вам верфями Sin Space Engineering, полностью рассекречена, выведена из эксплуатации и, вероятно, нелегальна, с рядом приятных преимуществ, таких как высокопроизводительное реактивное колесо, «корпус реактора», из которого вырвали что-то отредактированное (именно так оно и было, когда мы его получили), и, вероятно, функциональный грузовой отсек, увенчанный переоборудованной спасательной капсулой Conlido Classic™ для удовольствия. \n\nГарантия? Чёрт возьми, нет. Летай на этом чёртовом корабле, ринга. А если кто-нибудь спросит, где вы эту штуку взяли, позвоните нам и отправьте свои логи, чтобы получить скидку 25% на следующую покупку.

SHIP_ATLAS_WASP_SPECS|Производитель: Sin Space Engineering / Nakamura Dynamics \nМалопрочные подвесы: 2 \nУгол наклона двигателя: 36 градусов \nЭкипаж: 3 \nСухая масса: 8250 кг \nОбем грузового отсека: 40 м3 \nХранилище переработанной руды (на каждый тип): 500 кг \nЗащита от ЭМИ: 320 МВт

SYSTEM_REACTOR_JURYRIG|Самодельный реактор

SYSTEM_REACTIONWHEEL_PERF|Гидродинамический маховик



SHIP_PROSPECTOR_PIGEON|Pigeon Prospector

SHIP_PROSPECTOR_PIGEON_DESC|Что происходит, когда Pelican и Vulture очень любят друг друга? Они создают эту штуку – или, по крайней мере, так говорят. Высокая цена «Голубя» полностью обусловлена ​​невероятным мастерством, вложенным в её реализацию: дополнительные распорки каркаса поддерживают высокопрочную точку подвески в носовой части судна, и вся система питания и питания оборудования была переработана для её установки. Отсек также был укорочен, чтобы выдерживать нагрузки, что позволило установить стандартный гриндер.

SHIP_PROSPECTOR_PIGEON_SPECS|Производитель: Mitsudaya-Starbus / Conlido RVM \nВысокопрочные подвесы: 1 \nМалопрочные подвесы: 2 \nПодвесы для дронов: 2 \nЭкипаж: 6 \nСухая масса: 42 300 кг \nОбем грузового отсека: 70 м^3 \nХранилище переработанной руды (на каждый тип): 14 000 кг



SHIP_AT225_STUB|Antonoff-Titan K225-SH

SHIP_AT225_STUB_DESC|Вариант для ближних перелётов, ласково прозванный поклонниками серии «Stubby», начал производиться всего через три года после невероятно успешного запуска базового варианта и предназначен для скоростных перевозок по всей Солнечной системе. SH компенсирует потерю средней части лёгкой, манёвренной рамой и двумя креплениями для нанодронов, что делает его отличной альтернативой базовой модели в горнодобывающей промышленности.

SHIP_AT225_STUB_SPECS|Производитель: Antonoff-Titan Heavy Industries \nМалопрочные подвесы: 2 \nПодвесы для дронов: 2 \nСтыковочные отсеки: 4 \nЭкипаж: 12 \nСухая масса: 160 000 кг \nОбем грузового отсека: 280 м3 \nХранилище переработанной руды (на каждый тип): 5000 кг



SHIP_TRTL_OCP|SSE OK720 TNTRL

SHIP_TRTL_OCP_DESC|«О боже, что это?» — воскликнули они. «Это не прокатит», — сказали они. «Перестаньте нам звонить, иначе мы подадим иск», — хором сказали Антонофф и Обонто. Именно в этом хоре нытья и криков мы создали чудо под названием OK720 TNTRL. \n\nДве запасные половинки отсека из остатков Obonto и рассечённый корпус K37 объединились, чтобы создать этот шедевр, изначально «шутку», опубликованную на форуме RingChan /dreamship/ пользователем snownukitro. Благодаря поистине огромному грузовому отсеку и крепёжным элементам для УПМ и аксессуаров стандарта OCP, четырём узлам подвески оборудования с низким уровнем нагрузки и невероятно малой массе для такого объёма грузового отсека, этот монстр идеально подходит для кольцевой добычи полезных ископаемых — при условии, что он ни во что не будет врезаться. \n\nДействует ограниченная гарантия. Мы не заменим его, если вы застрянете в ограниченном пространстве, но продадим вам сменные панели.

SHIP_TRTL_OCP_SPECS|Производитель: Rusatom-Antonoff / Obonto Microengineering / Sin Space Engineering \nМалопрочные подвесы: 4 \nЭкипаж: 4 \nСухая масса: 86 600 кг \nОбем грузового отсека: 720 м³ \nХранилище переработанной руды (на каждый тип): 5000 кг


SHIP_OCP209_SPECS|Производитель: Obonto Microengineering \nВысокопрочные подвесы: 2 \nМалопрочные подвесы: 2 \Стыковочных отсеки: 4 \nЭкипаж: 8 \nСухая масса: 184 500 кг \nОбем грузового отсека: 610 м³ \nХранилище переработанной руды (общее): 50 000 кг
