SLOT_HULL_CONSUMABLEVAT|Consumable Vat
SYSTEM_HULLVAT_AMMO_EXTEND_2_SPECS|Модификатор вместимости боезапаса: +67% \nВместимость боезапаса: 2,000 kg \nУменьшение хранилища переработанных минералов: 20% \nСобственная масса: 20,000 kg \nПроизводитель: Antonoff



SYSTEM_HULLVAT_AMMO_EXTEND_3|Obonto Projectile Extendo+

SYSTEM_HULLVAT_AMMO_EXTEND_3_DESC|Использует другой подход к расширению магазина электромагнитных пушек, нежели ранее, вместо этого жертвуя частью топливного бака. Из-за противоречивых законов Энцелада, он придерживается универсального подхода к проценту сокращения бака, но всегда гарантирует наличие 10 тонн топлива, даже если это означает, что топливо придётся хранить в том же контейнере, что и боеприпасы.

SYSTEM_HULLVAT_AMMO_EXTEND_3_SPECS|Модификатор вместимости боезапаса: +100% \nВместимость боезапаса: 1,000 kg \nУменьшение хранилища переработанных минералов: 33% \nСобственная масса: 35,000 kg \nПроизводитель: Obonto Microengineering





SYSTEM_HULLVAT_NANO_1|Runasimi Drone Component Vat

SYSTEM_HULLVAT_NANO_1_DESC|Как и многие коммерческие продукты Runasimi, DCV ориентирован на небольшое расширение имеющихся компонентов нанодрона. Изначально разработанный как резервный отсек, доступный только в чрезвычайных ситуациях, более поздние модели были разблокированы, чтобы их содержимое можно было использовать во время обычного полёта.

SYSTEM_HULLVAT_NANO_1_SPECS|Хранилище нанодронов: 6,000 kg \nУменьшение боезапаса: 25% \nСобственная масса: 4,500 kg \nПроизводитель: Runasimi 

SYSTEM_HULLVAT_NANO_MANUAL|Дополнительные детали для сборки нанодронов. Совместимы со всеми пусковыми установками для дронов. \nСкорость доставки деталей дрона зависит от установленного магазина. \nКомпоненты дронов продаются отдельно на старте полета. \nДисплеи датчиков HUD могут отображать новые значения корректно или нет.

    

SYSTEM_HULLVAT_NANO_2|Runasimi Hull-Fitted Nanodrone Locker

SYSTEM_HULLVAT_NANO_2_DESC|Благодаря успеху DCV было запущено в производство более крупное устройство, позволяющее пользователям, использующим нанодроны в больших количествах, эффективно использовать часто неиспользуемое пространство магазинов электромагнитных пушек, что позволило разместить значительно большую часть нанодронов. Отсутствие специальных предохранительных устройств позволило увеличить соотношение размеров деталей к пространству магазина по сравнению с предыдущими конструкциями.

SYSTEM_HULLVAT_NANO_2_SPECS|Хранилище нанодронов: 15,000 kg \nУменьшение боезапаса: 50% \nСобственная масса: 12,000 kg \nПроизводитель: Runasimi



SYSTEM_HULLVAT_NANO_EXTEND_1|Antonoff Nano Storage Expansion

SYSTEM_HULLVAT_NANO_EXTEND_1_DESC|Эта модификация, основанная на конструкции, аналогичной линейке боеприпасов в расширенных комплектах модернизации, заменяет часть трюма для минералов, позволяя хранить больше деталей нанодрона внутри судна. Обратите внимание, что к этим комплектам применяются те же законы, а допустимые отклонения в хранении привязаны к маркировке независимо от судна.

SYSTEM_HULLVAT_NANO_EXTEND_1_SPECS|Модификатор вместимости хранилища нанодронов: +33% \nХранилище нанодронов: 1,000 kg \nУменьшение хранилища переработанных минералов: 10% \nСобственная масса: 10,500 kg \nПроизводитель: Antonoff



SYSTEM_HULLVAT_NANO_EXTEND_2|Antonoff Dual Nano Storage Expansion

SYSTEM_HULLVAT_NANO_EXTEND_2_DESC|Аналогично конструкции комплектов для увеличения боеприпаса, компания Antonoff предложила двойную комплектацию для своих NSE. Аналогичные ограничения сохраняются.

SYSTEM_HULLVAT_NANO_EXTEND_2_SPECS|Модификатор вместимости хранилища нанодронов: +67% \nХранилище нанодронов: 2,000 kg \nУменьшение хранилища переработанных минералов: 20% \nСобственная масса: 25,000 kg \nПроизводитель: Antonoff



SYSTEM_HULLVAT_NANO_EXTEND_3|Obonto Liquid Nanobot Hold

SYSTEM_HULLVAT_NANO_EXTEND_3_DESC|Вариант комплекта Obonto Projectile Extendo+ для хранения нанодронов. Этот комплект заменяет довольно большую часть топливного бака для хранения дополнительных компонентов нанодрона. Этот вариант на удивление популярен среди строительных бригад, несмотря на проблемы с топливным хранилищем, вероятно, из-за недавнего смягчения правил, запрещающих использование буксирных и тяговых нанодронов при строительстве кольца.

SYSTEM_HULLVAT_NANO_EXTEND_3_SPECS|Модификатор вместимости хранилища нанодронов: +100% \nХранилище нанодронов: 1,000 kg \nУменьшение запаса рабочего тела: 33% \nСобственная масса: 40,000 kg \nПроизводитель: Obonto Microengineering





SYSTEM_HULLVAT_PROP_1|Бак с топливом Mk. I

SYSTEM_HULLVAT_PROP_1_DESC|Эти меньшие по размеру комплекты расширителей, созданные на основе исследований компании Conlindo в области динамических расширителей топливных баков, предназначены для бригад, занимающихся исследованиями, поисково-спасательными работами или строительством, поскольку в них остается много свободного пространства, остающегося после неиспользования обработанных хранилищ, и часть из них можно повторно использовать для размещения рабочего тела.

SYSTEM_HULLVAT_PROP_1_SPECS|Вместимость топлива: 10,000 kg \nУменьшение хранилища переработанных минералов: 10% \nСобственная масса: 1,500 kg \nПроизводитель: Conlindo RVM

SYSTEM_HULLVAT_PROP_MANUAL|Дополнительное рабочее тело для двигателей и турбин. \nРабочее тело продаётся отдельно в начале полета. \nДисплеи датчиков HUD могут отображать новые значения правильно или неправильно.

    

SYSTEM_HULLVAT_PROP_2|Бак с топливом Mk. II

SYSTEM_HULLVAT_PROP_2_DESC|Представляя собой современное усовершенствование по сравнению с Mk. I, этот комплект использует более эффективные методы хранения, позволяя занимать меньше места на килограмм веса, чем его предшественник. Этот комплект всё ещё может оказаться не самым эффективным для некоторых экипажей, поскольку значительно более тяжёлая рама отпугнула некоторых капитанов, оценив его преимущества.

SYSTEM_HULLVAT_PROP_2_SPECS|Вместимость топлива: 25,000 kg \nУменьшение хранилища переработанных минералов: 22.5% \nСобственная масса: 7,000 kg \nПроизводитель: Conlindo RVM



SYSTEM_HULLVAT_PROP_EXTEND_1|Расширитель бака рабочего тела

SYSTEM_HULLVAT_PROP_EXTEND_1_DESC|Стремясь к бесперебойным межпланетным перелётам, Конлиндо разработал это оборудование, позволяющее заменить часть магазина электромагнитных пушек и хранилища компонентов нанодронов, которые не используются при полётах на такие расстояния, чтобы вместить больше топлива в корабль. Несмотря на то, что стандартные межпланетные баки являются минимально необходимыми, дополнительный резерв позволяет пилотам совершать дополнительные манёвры, не рискуя опустошить бак и дрейфовать на протяжении всего пути.

SYSTEM_HULLVAT_PROP_EXTEND_1_SPECS|Модификатор вместимости топлива: +25% \nУменьшение боезапаса: 17% \nУменьшения хранилища нанодронов: 17% \nСобственная масса: 3,000 kg \nПроизводитель: Conlindo RVM



SYSTEM_HULLVAT_PROP_EXTEND_2|2x Расширитель бака рабочего тела

SYSTEM_HULLVAT_PROP_EXTEND_2_DESC|Стремясь к бесперебойным межпланетным перелётам, Конлиндо разработал это оборудование, позволяющее заменить часть магазина электромагнитных пушек и хранилища компонентов нанодронов, которые не используются при перелётах на такие расстояния, чтобы вместить больше топлива в корабль. Несмотря на то, что стандартные межпланетные баки являются минимально необходимыми, дополнительный резерв позволяет пилотам совершать дополнительные манёвры, не рискуя опустошить бак и дрейфовать остаток пути.\n\nДвойная установка этого оборудования позволяет увеличить запас топлива для кораблей, которым это необходимо.

SYSTEM_HULLVAT_PROP_EXTEND_2_SPECS|Модификатор вместимости топлива: +50% \nУменьшение боезапаса: 25% \nУменьшения хранилища нанодронов: 25% \nСобственная масса: 8,000 kg \nПроизводитель: Conlindo RVM



SYSTEM_HULLVAT_PROP_EXTEND_3|3x Расширитель бака рабочего тела

SYSTEM_HULLVAT_PROP_EXTEND_3_DESC|Стремясь к бесперебойным межпланетным перелётам, Конлиндо разработал это оборудование, позволяющее заменить часть магазина электромагнитных пушек и хранилища компонентов нанодронов, которые не используются при перелётах на такие расстояния, чтобы вместить больше топлива в корабль. Несмотря на то, что стандартные межпланетные баки являются минимально необходимыми, дополнительный резерв позволяет пилотам совершать дополнительные манёвры, не рискуя опустошить бак и дрейфовать остаток пути.\n\nТройная установка этого оборудования позволяет увеличить запас топлива для кораблей, которым это действительно необходимо.

SYSTEM_HULLVAT_PROP_EXTEND_3_SPECS|Модификатор вместимости топлива: +75% \nУменьшение боезапаса: 38% \nУменьшения хранилища нанодронов: 38% \nСобственная масса: 15,000 kg \nПроизводитель: Conlindo RVM





SYSTEM_HULLVAT_CONSUMABLESPEED_1|Tetsuo SCARLETTE Delivery Driver

SYSTEM_HULLVAT_CONSUMABLESPEED_1_DESC|Модуль SCARLETTE Driver предназначен для модернизации системы подачи расходных материалов к узлам подвески. Изначально использовавшийся в военных целях, SCARLETTE был переименован в промышленную модификацию после расторжения контрактов с Nakamura Dynamics. Несмотря на то, что он использовался преимущественно для промышленных электромагнитных пушек, некоторые капитаны с особенно высокими требованиями к электромагнитным пушкам смогли эффективно использовать этот модуль.

SYSTEM_HULLVAT_CONSUMABLESPEED_1_SPECS|Скорость доставки расходных материалов: +75% \nСобственная масса: 3,800 kg \nПроизводитель: Tetsuo Engineering

SYSTEM_HULLVAT_CONSUMABLESPEED_MANUAL|Увеличивает скорость поставки соответствующих расходных материалов на определенный процент. \nНаиболее эффективно использовать в сочетании с промышленным оборудованием.


SYSTEM_HULLVAT_CONSUMABLESPEED_2|Модуль повышения эффективности подачи расходных материалов Tetsuo RamDrive

SYSTEM_HULLVAT_CONSUMABLESPEED_2_DESC|В связи с выходом на потребительский рынок электромагнитных пушек промышленного класса Tetsuo HMX 2000l, которые ранее были доступны только для внктреннего использования, потребителям, желающим модернизировать свои суда, чтобы иметь возможность использовать их, особенно для экипажей, которые не могут воспользоваться системой подачи железа или не имеют возможности приобрести судно, отвечающее их требованиям, этот модуль вносит серьезные коррективы в системы доставки на судне и, как следствие, может быть использован для модернизации большинства магазинов, чтобы соответствовать абсурдным требованиям HMX к доставке боеприпасов.

SYSTEM_HULLVAT_CONSUMABLESPEED_2_SPECS|Скорость доставки расходных материалов: +150% \nСобственная масса: 9,000 kg \nПроизводитель: Tetsuo Engineering
